Newspaper,Daily ,Sunday
1,391.952,488.506
2,516.981,798.298
3,355.628,235.084
4,238.555,299.451
5,537.78,559.093
6,733.775,1133.249
7,198.832,348.744
8,252.624,417.779
9,206.204,344.522
10,231.177,323.084
11,449.755,620.752
12,288.571,423.305
13,185.736,202.614
14,1164.388,1531.527
15,444.581,553.479
16,412.871,685.975
17,272.28,324.241
18,781.796,983.24
19,1209.225,1762.015
20,825.512,960.308
21,223.748,284.611
22,354.843,407.76
23,515.523,982.663
24,220.465,557
25,337.672,440.923
26,197.12,268.06
27,133.239,262.048
28,374.009,432.502
29,273.844,338.355
30,570.364,704.322
31,391.286,585.681
32,201.86,267.781
33,321.626,408.343
34,838.902,1165.567
